"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",26,"Loranthaceae",1,95,"Viscum","album","28/03/1870","L.","0095_DIARD",,2,"rameau feuillu","incomplet","B",44,"Loire Atlantique","Vallet","Le Pallet","Le Pallet",,,"2 fragments sont séparés des spécimens","Viscum album L."
"Diard",27,"Aristolochiaceae",1,96,"Aristolochia","clematitis","07/05/1868","L.","0096_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire Atlantique","Nantes",,"Bord de la Loire en face de la Gare",,,,"Aristolochia clematitis L."
"Figureau",28,"Polygonaceae",1,100,"Rumex","bucephalophorus",30/04/1980,"L.","0100_FIGUREAU",,10,"plante entière","complet","TB",85,"Vendée","Ile d'Yeu","Les Grandes Conches","Les Grandes Conches _ Ile D'Yeu (85)","Dunes fixées",,,"Rumex bucephalophorus L."
"Diard",28,"Polygonaceae",1,102,"Rumex","palustris","03/07/1870","Sm.","0102_DIARD, 0102_(1)_DIARD, 0102_(2)_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Le Loroux-Bottereau","St Julien-de-Concelles","St Julien de Concelles",,,,"Rumex palustris Sm."
"Diard",28,"Polygonaceae",1,103,"Rumex","pulcher","09/07/1871","L.","0103_DIARD, 0103_(1)_DIARD, 0103_(2)_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Oudon",,"Oudon",,,,"Rumex pulcher L."
"Diard",28,"Polygonaceae",1,107,"Rumex","rupestris","25/06/1871","Le Gall","0107_DIARD",,2,"tige + feuilles + infrutescence","complet","M",44,"Loire-Atlantique","La Bernerie-en-Retz",,"La Bernerie",,,,"Rumex rupestris Le Gall"
"Figureau",28,"Polygonaceae",1,107,"Rumex","rupestris",06/07/1979,"Le Gall","0107_FIGUREAU",,2,"tige + feuilles + infrutescence","complet","B",44,"Loire-Atlantique","St Nazaire","Pointe de Chémoulin","Pte de Chemoulin St Nazaire","Rochers maritimes suintants",,,"Rumex rupestris Le Gall"
"Diard",28,"Polygonaceae",1,97,"Rumex","acetosella","26/06/1870","L.","0097_DIARD",,1,"plante entière (infrutescence)","complet","M",44,"Loire-Atlantique",,,"Les Herbières",,,,"Rumex acetosella L."
"Diard",28,"Polygonaceae",1,98,"Rumex","acetosa","03/07/1870","L.","0098_DIARD",,2,"plante entière (infrutescence)","incomplet","B",44,"Loire-Atlantique","Le Loroux-Bottereau","St Julien-de-Concelles","St Julien de Concelles",,,,"Rumex acetosa L."
"Diard",28,"Polygonaceae",1,105,"Rumex","congolmeratus","03/07/1870","Murr.","0105_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Le Loroux-Bottereau","St Julien-de-Concelles","St Julien de Concelles",,,,"Rumex congolmeratus Murr."
"Diard",28,"Polygonaceae",1,106,"Rumex","sanguineus","27/06/1869","L.","0106_DIARD",,2,"tige + feuilles + infrutescence","incomplet","B",44,"Loire-Atlantique","St-Julien-de-Concelles","La Chebuette","La Chebuette",,"Rumex nemorosus",,"Rumex sanguineus L."
